"PKPostId","SymbolFK","score"
"gvx9v5i","ubs","-0.88230117698823"
"gvxa2ao","ubs","-0.878521889900303"
"gvxa793","gme","-0.142465753424658"
"gvxa8nv","amc","-0.692592592592593"
"gvxa9az","mvis","0"
"gvxa9az","mvis","0.666666666666667"
"gvxa9az","mvis","1.07142857142857"
"gvxa9rn","amzn","1.30790006752194"
"gvxacw5","mvis","0.05"
"gvxacw5","mvis","0.5"
"gvxacw5","mvis","0.3125"
"gvxada7","amzn","1.2874469375379"
"gvxajmj","amzn","1.2874469375379"
"gvxamep","amzn","1.30790006752194"
"gvxaob0","ubs","-0.874866538543669"
"gvxavze","amzn","1.30790006752194"
"gvxay64","amzn","1.30790006752194"
"gvxc2f8","amzn","1.30338541666667"
"gvxc5x9","amzn","1.30790006752194"
"gvxcess","amzn","1.30790006752194"
"gvxcrvr","ubs","-0.878521889900303"
"gvxczwl","ubs","-0.88230117698823"
"gvxd0x4","amzn","1.30208333333333"
"gvxd63x","amzn","1.31394533987386"
"gvxe72g","ubs","-0.864500306560392"
"gvxe87p","amzn","1.30790006752194"
"gvxemtq","twtr","1.45054945054945"
"gvxev9w","twtr","0.894230769230769"
"gvxey97","amzn","1.30790006752194"
"gvxf1br","mvis","0"
"gvxf1br","mvis","0.666666666666667"
"gvxf1br","mvis","0.642857142857143"
"gvxf2rm","amzn","1.30338541666667"
"gvxf38y","twtr","1.45054945054945"
"gvxf8yj","amzn","1.30338541666667"
"gvxfilc","ubs","-0.864500306560392"
"gvxfk7q","ubs","-0.874332692718343"
"gvxfr0g","amzn","1.30078125"
"gvxft4f","amzn","1.30790006752194"
"gvxfyeq","twtr","1.79310344827586"
"gvxg3mf","amzn","1.30013020833333"
"gvxgaqf","twtr","0.482758620689655"
"gvxgdbo","amzn","1.30790006752194"
"gvxge2j","amzn","1.30790006752194"
"gvxgenl","mvis","0.346153846153846"
"gvxgenl","mvis","0.75"
"gvxgenl","mvis","1.29411764705882"
"gvxgzfn","gme","-0.0555149744338934"
"gvxh1p6","amzn","1.30790006752194"
"gvxh5hr","twtr","0.769230769230769"
"gvxh5hr","mvis","0.679245283018868"
"gvxheo1","amzn","1.30790006752194"
"gvxhol5","ubs","-0.871330878485008"
"gvxi0z6","twtr","0.769230769230769"
"gvxia4d","twtr","1.01923076923077"
"gvxia4d","riot","0.962264150943396"
"gvxig9i","twtr","1.64423076923077"
"gvxikvv","twtr","1.45054945054945"
"gvximvt","amzn","1.30790006752194"
"gvxiz8s","mvis","-0.181818181818182"
"gvxiz8s","mvis","0.8"
"gvxiz8s","mvis","1.09090909090909"
"gvxj5qo","amzn","1.27895694360218"
